tr_tra_name_2018,Date,Visitors (000),Nights (000),Expenditure ($M),Average nights,Average spend per trip,Average spend per night
Alice Springs,2014-01-01,118,583,38,5,322,65
Litchfield Kakadu Arnhem,2014-01-01,30,162,14,5,479,87
Katherine Daly,2014-01-01,28,229,18,8,627,77
Lasseter,2014-01-01,135,369,169,3,"1,250",458
MacDonnell,2014-01-01,6,18,1,3,85,28
Canberra,2014-01-01,182,"4,235",356,23,"1,960",84
Sydney,2015-01-01,"3,171","67,312","6,880",21,"2,169",102
Blue Mountains,2015-01-01,99,464,44,5,443,95
Capital Country,2015-01-01,23,613,31,27,"1,351",50
Central Coast,2015-01-01,39,829,33,21,854,40
Central NSW,2015-01-01,37,624,23,17,603,36
Hunter,2015-01-01,164,"2,532",177,15,"1,079",70
New England North West,2015-01-01,33,756,49,23,"1,501",65
North Coast NSW,2015-01-01,292,"3,124",182,11,624,58
Outback NSW,2015-01-01,13,393,np,29,np,np
Riverina,2015-01-01,20,519,28,26,"1,391",54
Snowy Mountains,2015-01-01,19,221,11,12,579,50
South Coast,2015-01-01,125,"2,098",178,17,"1,424",85
The Murray,2015-01-01,21,229,13,11,642,58
Melbourne,2015-01-01,"2,177","48,308","5,252",22,"2,412",109
Ballarat,2015-01-01,20,239,np,12,np,np
Bendigo Loddon,2015-01-01,20,238,17,12,859,70
Central Highlands,2015-01-01,31,94,5,3,151,49
Central Murray,2015-01-01,10,223,np,22,np,np
Geelong and the Bellarine,2015-01-01,48,688,59,14,"1,228",86
Gippsland,2015-01-01,37,614,26,17,714,43
Goulburn,2015-01-01,12,303,np,25,np,np
Great Ocean Road,2015-01-01,173,912,87,5,502,95
High Country,2015-01-01,18,209,15,11,824,72
Lakes,2015-01-01,30,146,10,5,326,68
Macedon,2015-01-01,np,np,np,np,np,np
Mallee,2015-01-01,22,819,33,38,"1,522",40
Melbourne East,2015-01-01,34,738,36,22,"1,057",48
Murray East,2015-01-01,np,np,np,np,np,np
Peninsula,2015-01-01,47,624,39,13,838,63
Phillip Island,2015-01-01,39,149,np,4,np,np
Spa Country,2015-01-01,np,np,np,np,np,np
Upper Yarra,2015-01-01,np,np,np,np,np,np
Western Grampians,2015-01-01,7,58,np,9,np,np
Wimmera,2015-01-01,np,np,np,np,np,np
Brisbane,2015-01-01,"1,087","23,531","1,804",22,"1,659",77
Bundaberg,2015-01-01,37,945,34,25,923,36
Southern Queensland Country,2015-01-01,46,"1,611",82,35,"1,781",51
Fraser Coast,2015-01-01,134,639,47,5,349,73
Gold Coast,2015-01-01,839,"8,211","1,083",10,"1,291",132
Mackay,2015-01-01,45,739,32,16,707,43
Townsville,2015-01-01,123,"1,446",79,12,640,55
Outback Queensland,2015-01-01,33,617,26,19,786,42
Sunshine Coast,2015-01-01,257,"2,521",194,10,756,77
Tropical North Queensland,2015-01-01,759,"6,801",999,9,"1,317",147
Whitsundays,2015-01-01,210,"1,516",147,7,700,97
Capricorn,2015-01-01,66,621,22,9,333,36
Gladstone,2015-01-01,56,767,36,14,630,46
Adelaide,2015-01-01,349,"7,396",670,21,"1,922",91
Adelaide Hills,2015-01-01,7,67,np,10,np,np
Barossa,2015-01-01,14,334,np,24,np,np
Clare Valley,2015-01-01,np,np,np,np,np,np
Eyre Peninsula,2015-01-01,20,185,12,9,614,66
Fleurieu Peninsula,2015-01-01,22,185,11,8,502,60
Limestone Coast,2015-01-01,45,225,15,5,334,66
Murraylands,2015-01-01,9,110,np,13,np,np
Riverland,2015-01-01,7,137,4,20,600,29
Yorke Peninsula,2015-01-01,np,np,np,np,np,np
Flinders Ranges and Outback,2015-01-01,34,202,6,6,181,30
Kangaroo Island,2015-01-01,36,125,15,3,404,117
Experience Perth,2015-01-01,785,"23,011","1,954",29,"2,489",85
Australia's Golden Outback,2015-01-01,47,965,57,21,"1,225",59
Australia's North West,2015-01-01,72,"1,845",90,25,"1,244",49
Australia's South West,2015-01-01,142,"2,201",139,16,984,63
Australia's Coral Coast,2015-01-01,62,837,71,13,"1,137",84
Hobart and the South,2015-01-01,167,"1,809",187,11,"1,120",103
East Coast,2015-01-01,34,95,13,3,387,140
Launceston and the North,2015-01-01,76,853,62,11,813,73
North West,2015-01-01,44,414,20,9,455,48
West Coast,2015-01-01,17,45,15,3,883,342
Darwin,2015-01-01,142,"3,048",176,21,"1,239",58
Barkly,2015-01-01,15,42,5,3,319,113
Alice Springs,2015-01-01,112,791,51,7,456,65
Litchfield Kakadu Arnhem,2015-01-01,33,141,42,4,"1,277",300
Katherine Daly,2015-01-01,33,296,9,9,260,29
Lasseter,2015-01-01,146,431,177,3,"1,209",410
MacDonnell,2015-01-01,8,41,np,5,np,np
Canberra,2015-01-01,179,"4,572",361,26,"2,014",79
Sydney,2016-01-01,"3,497","73,130","8,208",21,"2,347",112
Blue Mountains,2016-01-01,106,483,62,5,580,128
Capital Country,2016-01-01,27,537,17,20,636,32
Central Coast,2016-01-01,53,841,49,16,917,58
Central NSW,2016-01-01,41,906,45,22,"1,089",50
Hunter,2016-01-01,153,"2,674",175,18,"1,145",65
New England North West,2016-01-01,32,"1,060",46,33,"1,442",44
North Coast NSW,2016-01-01,307,"3,484",193,11,627,55
Outback NSW,2016-01-01,10,215,np,21,np,np
Riverina,2016-01-01,28,608,33,22,"1,191",54
Snowy Mountains,2016-01-01,21,299,15,14,704,50
South Coast,2016-01-01,134,"2,305",210,17,"1,574",91
The Murray,2016-01-01,21,302,np,14,np,np
Melbourne,2016-01-01,"2,444","51,883","6,284",21,"2,571",121
Ballarat,2016-01-01,29,355,13,12,455,38
Bendigo Loddon,2016-01-01,20,283,16,14,824,57
Central Highlands,2016-01-01,41,207,np,5,np,np
Central Murray,2016-01-01,14,260,6,19,437,23
Geelong and the Bellarine,2016-01-01,59,791,83,13,"1,400",105
Gippsland,2016-01-01,44,424,27,10,610,64
Goulburn,2016-01-01,21,392,np,19,np,np
Great Ocean Road,2016-01-01,194,820,87,4,450,106
High Country,2016-01-01,27,260,13,10,481,50
Lakes,2016-01-01,33,184,8,6,242,44
Macedon,2016-01-01,np,np,np,np,np,np
Mallee,2016-01-01,26,846,29,33,"1,124",34
Melbourne East,2016-01-01,41,706,28,17,687,39
Murray East,2016-01-01,np,np,np,np,np,np
Peninsula,2016-01-01,58,882,62,15,"1,059",70
Phillip Island,2016-01-01,47,153,16,3,337,104
Spa Country,2016-01-01,np,np,np,np,np,np
Upper Yarra,2016-01-01,np,np,np,np,np,np
Western Grampians,2016-01-01,12,85,2,7,188,27
Wimmera,2016-01-01,np,np,np,np,np,np
Brisbane,2016-01-01,"1,191","24,376","1,946",20,"1,633",80
Bundaberg,2016-01-01,39,"1,178",39,30,980,33
Southern Queensland Country,2016-01-01,40,"1,214",49,30,"1,206",40
Fraser Coast,2016-01-01,132,597,38,5,286,63
Gold Coast,2016-01-01,963,"9,804","1,247",10,"1,295",127
Mackay,2016-01-01,42,497,24,12,570,48
Townsville,2016-01-01,123,"1,850",109,15,882,59
Outback Queensland,2016-01-01,28,445,12,16,407,26
Sunshine Coast,2016-01-01,266,"2,820",247,11,929,87
Tropical North Queensland,2016-01-01,860,"6,522","1,084",8,"1,262",166
Whitsundays,2016-01-01,222,"1,449",214,7,965,148
Capricorn,2016-01-01,67,609,38,9,565,62
Gladstone,2016-01-01,50,606,np,12,np,np
Adelaide,2016-01-01,384,"7,973",818,21,"2,132",103
Adelaide Hills,2016-01-01,7,90,7,13,"1,040",79
Barossa,2016-01-01,11,51,8,5,729,162
Clare Valley,2016-01-01,np,np,np,np,np,np
Eyre Peninsula,2016-01-01,17,139,np,8,np,np
Fleurieu Peninsula,2016-01-01,22,250,15,11,691,61
Limestone Coast,2016-01-01,46,208,16,5,356,78
Murraylands,2016-01-01,9,111,np,12,np,np
Riverland,2016-01-01,8,246,7,31,899,29
Yorke Peninsula,2016-01-01,np,np,np,np,np,np
Flinders Ranges and Outback,2016-01-01,38,232,10,6,274,45
Kangaroo Island,2016-01-01,45,159,45,4,"1,002",286
Experience Perth,2016-01-01,845,"21,633","1,922",26,"2,274",89
Australia's Golden Outback,2016-01-01,53,774,39,15,727,50
Australia's North West,2016-01-01,72,"1,860",71,26,987,38
Australia's South West,2016-01-01,176,"2,475",185,14,"1,051",75
Australia's Coral Coast,2016-01-01,78,958,104,12,"1,342",109
Hobart and the South,2016-01-01,192,"1,933",226,10,"1,176",117
East Coast,2016-01-01,48,146,17,3,348,113
Launceston and the North,2016-01-01,88,796,65,9,732,81
North West,2016-01-01,51,472,np,9,np,np
West Coast,2016-01-01,19,44,12,2,637,279
Darwin,2016-01-01,125,"2,328",148,19,"1,183",64
Barkly,2016-01-01,13,24,4,2,272,151
Alice Springs,2016-01-01,112,571,59,5,524,103
Litchfield Kakadu Arnhem,2016-01-01,31,205,15,7,477,71
Katherine Daly,2016-01-01,29,206,9,7,295,42
Lasseter,2016-01-01,153,438,183,3,"1,199",419
MacDonnell,2016-01-01,np,np,np,np,np,np
Canberra,2016-01-01,203,"4,982",420,25,"2,070",84
Sydney,2017-01-01,"3,833","77,707","9,033",20,"2,357",116
Blue Mountains,2017-01-01,112,684,66,6,592,97
Capital Country,2017-01-01,35,582,np,17,np,np
Central Coast,2017-01-01,50,912,np,18,np,np
Central NSW,2017-01-01,38,440,25,12,648,56
Hunter,2017-01-01,186,"3,039",221,16,"1,186",73
New England North West,2017-01-01,41,"1,061",np,26,np,np
North Coast NSW,2017-01-01,345,"3,645",226,11,654,62
Outback NSW,2017-01-01,12,90,np,8,np,np
Riverina,2017-01-01,29,847,42,30,"1,465",50
Snowy Mountains,2017-01-01,18,431,np,24,np,np
South Coast,2017-01-01,174,"2,752",272,16,"1,562",99
The Murray,2017-01-01,27,324,19,12,718,59
Melbourne,2017-01-01,"2,622","59,216","6,955",23,"2,652",117
Ballarat,2017-01-01,32,452,np,14,np,np
Bendigo Loddon,2017-01-01,19,217,12,12,658,56
Central Highlands,2017-01-01,41,138,8,3,188,56
Central Murray,2017-01-01,15,201,11,14,754,55
Geelong and the Bellarine,2017-01-01,52,952,82,18,"1,586",87
Gippsland,2017-01-01,47,529,19,11,398,35
Goulburn,2017-01-01,21,659,np,31,np,np
Great Ocean Road,2017-01-01,220,"1,039",108,5,489,104
High Country,2017-01-01,35,621,31,18,902,50
Lakes,2017-01-01,45,127,7,3,165,59
Macedon,2017-01-01,8,120,np,16,np,np
Mallee,2017-01-01,26,669,25,26,959,37
Melbourne East,2017-01-01,47,825,50,18,"1,065",60
Murray East,2017-01-01,np,np,np,np,np,np
Peninsula,2017-01-01,61,"1,142",65,19,"1,061",57
Phillip Island,2017-01-01,54,151,17,3,305,109
Spa Country,2017-01-01,10,40,5,4,451,115
Upper Yarra,2017-01-01,np,np,np,np,np,np
Western Grampians,2017-01-01,8,71,np,9,np,np
Wimmera,2017-01-01,np,np,np,np,np,np
Brisbane,2017-01-01,"1,246","26,735","2,197",21,"1,764",82
Bundaberg,2017-01-01,42,"1,212",53,29,"1,254",44
Southern Queensland Country,2017-01-01,46,"1,337",57,29,"1,235",43
Fraser Coast,2017-01-01,148,652,36,4,245,56
Gold Coast,2017-01-01,"1,032","9,405","1,179",9,"1,142",125
Mackay,2017-01-01,45,431,np,10,np,np
Townsville,2017-01-01,132,"1,256",106,10,801,84
Outback Queensland,2017-01-01,29,500,12,17,431,25
Sunshine Coast,2017-01-01,296,"3,039",250,10,842,82
Tropical North Queensland,2017-01-01,898,"6,751","1,081",8,"1,203",160
Whitsundays,2017-01-01,241,"1,371",196,6,811,143
Capricorn,2017-01-01,73,573,18,8,249,32
Gladstone,2017-01-01,59,649,np,11,np,np
Adelaide,2017-01-01,389,"8,972",927,23,"2,385",103
Adelaide Hills,2017-01-01,8,149,np,18,np,np
Barossa,2017-01-01,12,130,np,11,np,np
Clare Valley,2017-01-01,np,np,np,np,np,np
Eyre Peninsula,2017-01-01,21,167,13,8,636,80
Fleurieu Peninsula,2017-01-01,24,206,13,9,552,64
Limestone Coast,2017-01-01,46,356,18,8,393,50
Murraylands,2017-01-01,10,96,np,10,np,np
Riverland,2017-01-01,7,231,np,32,np,np
Yorke Peninsula,2017-01-01,np,np,np,np,np,np
Flinders Ranges and Outback,2017-01-01,41,263,17,6,427,66
Kangaroo Island,2017-01-01,43,139,24,3,546,171
Experience Perth,2017-01-01,924,"22,526","2,135",24,"2,310",95
Australia's Golden Outback,2017-01-01,53,707,31,13,581,44
Australia's North West,2017-01-01,69,"1,712",81,25,"1,177",47
Australia's South West,2017-01-01,172,"2,148",163,13,946,76
Australia's Coral Coast,2017-01-01,88,974,95,11,"1,082",97
Hobart and the South,2017-01-01,218,"2,189",267,10,"1,226",122
East Coast,2017-01-01,57,163,22,3,388,136
Launceston and the North,2017-01-01,101,"1,072",112,11,"1,113",104
North West,2017-01-01,64,468,34,7,534,73
West Coast,2017-01-01,25,48,21,2,832,430
Darwin,2017-01-01,142,"2,411",162,17,"1,141",67
Barkly,2017-01-01,18,84,np,5,np,np
Alice Springs,2017-01-01,121,538,73,4,604,136
Litchfield Kakadu Arnhem,2017-01-01,41,146,48,4,"1,165",331
Katherine Daly,2017-01-01,44,241,18,5,400,73
Lasseter,2017-01-01,167,438,178,3,"1,064",406
MacDonnell,2017-01-01,np,np,np,np,np,np
Canberra,2017-01-01,221,"4,584",535,21,"2,417",117
