OBJECTID,FEATURETYPE,DESCRIPTION,CLASS,FID,NAME,OPERATIONALSTATUS,OWNER,GENERATIONTYPE,PRIMARYFUELTYPE,PRIMARYSUBFUELTYPE,GENERATIONMW,GENERATORNUMBER,SUBURB,STATE,SPATIALCONFIDENCE,REVISED,COMMENT,LATITUDE,LONGITUDE
20,Power Station,A facility used for the generation of electrical power for distribution,Renewable,478,Mt Mercer Wind Farm,Operational,,Wind Turbine,Wind,,131,,Mount Mercer,Victoria,2,20171211,Wind,-37.84316966,143.8757632
21,Power Station,A facility used for the generation of electrical power for distribution,Renewable,19,Waubra Wind Farm,Operational,Acciona Energy Australia,Wind Turbine,Wind,,192,128,Waubra,Victoria,2,20171211,,-37.35746218,143.6037302
22,Power Station,A facility used for the generation of electrical power for distribution,Renewable,6,Challicum Hills Wind Farm,Operational,Pacific Hydro Pty Ltd,Wind Turbine,Wind,,52.5,35,Buangor,Victoria,2,20171211,Wind,-37.38927506,143.1123055
23,Power Station,A facility used for the generation of electrical power for distribution,Renewable,17,Shepparton Biogas Generation Plant,Operational,Diamond Energy Pty Ltd,Spark Ignition Reciprocating Engine,Biogas,Sewage Methane,1.1,,Shepparton North,Victoria,4,20171211,Biomass,-36.32177516,145.3789833
24,Power Station,A facility used for the generation of electrical power for distribution,Renewable,109,Dartmouth (Mount Beauty Hydro Scheme),Operational,AGL Energy Pty Ltd,Hydroelectric (Gravity),Water,,150,1,Dartmouth,Victoria,4,20171211,Hydro,-36.55642936,147.5205799
25,Power Station,A facility used for the generation of electrical power for distribution,Renewable,14,Banimboola,Operational,AGL Energy Pty Ltd,Hydroelectric (Gravity),Water,,12.85,2,Dartmouth,Victoria,2,20171211,Hydro,-36.53439682,147.4593781
26,Power Station,A facility used for the generation of electrical power for distribution,Renewable,99,Lake William Hovell,Operational,Pacific Hydro Investments Pty Ltd,Hydroelectric (Gravity),Water,,2,1,Cheshunt South,Victoria,4,20171211,Hydro,-36.91293685,146.392106
27,Power Station,A facility used for the generation of electrical power for distribution,Renewable,84,Eildon,Operational,AGL Energy Pty Ltd,Hydroelectric (Gravity),Water,,120,4,Eildon,Victoria,5,20171211,Hydro,-37.22200533,145.9214524
28,Power Station,A facility used for the generation of electrical power for distribution,Non Renewable,90,Laverton North,Operational,Snowy Hydro Ltd,Open Cycle Gas Turbine,Natural Gas,,312,2,Laverton North,Victoria,5,20171211,Gas,-37.84158,144.788711
29,Power Station,A facility used for the generation of electrical power for distribution,Non Renewable,94,Newport,Operational,Industry Funds Management,Steam Subcritical,Natural Gas,,500,1,Newport,Victoria,5,20171211,Gas,-37.841462,144.894197
30,Power Station,A facility used for the generation of electrical power for distribution,Renewable,83,Claytons,Operational,Energy Developments LFG (Victoria) Pty Ltd,Spark Ignition Reciprocating Engine,Biogas,Landfill Methane,11,11,Clayton South,Victoria,5,20171211,Landfill Gas,-37.9502,145.118722
31,Power Station,A facility used for the generation of electrical power for distribution,Renewable,71,Springvale,Operational,Energy Developments LFG (Victoria) Pty Ltd,Spark Ignition Reciprocating Engine,Biogas,Landfill Methane,4.2,6, South,Victoria,4,20171211,Landfill Gas,-37.973297,145.139635
32,Power Station,A facility used for the generation of electrical power for distribution,Renewable,77,Hallam Road,Operational,LMS Energy Generation Pty Ltd,Spark Ignition Reciprocating Engine,Biogas,Landfill Methane,8.984,2,Hampton Park,Victoria,4,20171211,Landfill Gas,-38.05345276,145.2699497
33,Power Station,A facility used for the generation of electrical power for distribution,Non Renewable,100,Yallourn,Operational,TRUenergy,Steam Subcritical,Coal,Brown Coal,1480,4,Yallourn,Victoria,5,20171211,Coal,-38.177015,146.342783
34,Power Station,A facility used for the generation of electrical power for distribution,Non Renewable,89,Jeeralang B,Operational,Industry Funds Management Nominees Ltd,Open Cycle Gas Turbine,Natural Gas,,228,3,Hazelwood North,Victoria,5,20171211,Gas,-38.274626,146.424923
35,Power Station,A facility used for the generation of electrical power for distribution,Non Renewable,88,Jeeralang A,Operational,Industry Funds Management Nominees Ltd Ecogen Holdings,Open Cycle Gas Turbine,Natural Gas,,204,4,Hazelwood North,Victoria,5,20171211,Gas,-38.275325,146.426296
36,Power Station,A facility used for the generation of electrical power for distribution,Non Renewable,146,Loy Yang A,Operational,GEAC Great Energy Alliance Corporation,Steam Subcritical,Coal,Brown Coal,2180,4,Loy Yang,Victoria,5,20171211,Coal,-38.2536,146.574569
37,Power Station,A facility used for the generation of electrical power for distribution,Non Renewable,146,Loy Yang B,Operational,IPM Australia Limited,Steam Subcritical,Coal,Brown Coal,1000,2,Loy Yang,Victoria,5,20171211,Coal,-38.256447,146.58637
38,Power Station,A facility used for the generation of electrical power for distribution,Non Renewable,146,Valley (Peaking Facility),Operational,Snowy Hydro Ltd,Open Cycle Gas Turbine,Natural Gas,,300,6,Loy Yang,Victoria,5,20171211,Gas,-38.253622,146.589166
39,Power Station,A facility used for the generation of electrical power for distribution,Non Renewable,81,Bairnsdale,Operational,Alinta DEBO,Open Cycle Gas Turbine,Natural Gas,,94,2,Bairnsdale,Victoria,5,20171211,Gas,-37.8428595,147.5639295
40,Power Station,A facility used for the generation of electrical power for distribution,Renewable,101,Yarrawonga,Operational,AGL Energy Pty Ltd,Hydroelectric (Gravity),Water,,9,2,Yarrawonga ,Victoria,5,20171211,Hydro,-36.00940982,145.9994615
41,Power Station,A facility used for the generation of electrical power for distribution,Renewable,359,Hume,Operational,Eraring Energy,Hydroelectric (Gravity),Water,,70,2,Lake Hume Village,New South Wales,5,20171211,Hydro,-36.10661854,147.0326223
42,Power Station,A facility used for the generation of electrical power for distribution,Renewable,64,Canunda Wind Farm,Operational,International Power - GDF Suez Australia,Wind Turbine,Wind,,46,23,German Flat,South Australia,2,20171211,Wind,-37.76025336,140.4033113
43,Power Station,A facility used for the generation of electrical power for distribution,Non Renewable,245,Snuggery,Operational,International Power - GDF Suez Australia,Open Cycle Gas Turbine,Natural Gas,,63,3,Millicent,South Australia,5,20171211,Diesel,-37.66455062,140.4155575
44,Power Station,A facility used for the generation of electrical power for distribution,Non Renewable,267,Dry Creek,Operational,Synergen Power,Open Cycle Gas Turbine,Natural Gas,,156,3,Port Adelaide,South Australia,5,20171211,Gas,-34.847463,138.581758
45,Power Station,A facility used for the generation of electrical power for distribution,Non Renewable,273,Torrens Island A,Operational,AGL Energy Pty Ltd,Steam Subcritical,Natural Gas,,480,4,Port Adelaide,South Australia,5,20171211,Gas,-34.806844,138.521322
46,Power Station,A facility used for the generation of electrical power for distribution,Non Renewable,274,Torrens Island B,Operational,AGL Energy Pty Ltd,Steam Subcritical,Natural Gas,,800,4,Port Adelaide,South Australia,5,20171211,Gas,-34.805171,138.52262
47,Power Station,A facility used for the generation of electrical power for distribution,Non Renewable,235,Osborne,Operational,Origin Energy,Combined Cycle Gas Turbine,Natural Gas,,180,2,Osborne,South Australia,4,20171211,Gas,-34.798021,138.507884
48,Power Station,A facility used for the generation of electrical power for distribution,Non Renewable,277,Pelican Point,Operational,International Power - GDF Suez Australia,Combined Cycle Gas Turbine,Natural Gas,,478,3,Port Adelaide,South Australia,5,20171211,Gas,-34.764972,138.505325
49,Power Station,A facility used for the generation of electrical power for distribution,Non Renewable,276,Quarantine,Operational,Origin Energy,Open Cycle Gas Turbine,Natural Gas,,224,5,Port Adelaide,South Australia,3,20171211,Gas,-34.779284,138.522352
50,Power Station,A facility used for the generation of electrical power for distribution,Non Renewable,232,Angaston,Operational,Infratil Energy Australia Pty Ltd,Compression Reciprocating Engine,Distillate,,50,30,Angaston,South Australia,4,20171211,Diesel,-34.50344259,139.0245702
51,Power Station,A facility used for the generation of electrical power for distribution,Renewable,158,Waterloo Wind Farm,Operational,TRUenergy,Wind Turbine,Wind,,111,37,Tothill Belt,South Australia,3,20171211,Wind,-34.00102479,138.9109315
52,Power Station,A facility used for the generation of electrical power for distribution,Renewable,160,Wattle Point Wind Farm,Operational,ANZ Energy Infrastructure Trust,Wind Turbine,Wind,,90.75,55,Edithburgh,South Australia,1,20171211,Wind,-35.1213549,137.7166175
53,Power Station,A facility used for the generation of electrical power for distribution,Non Renewable,249,Mintaro,Operational,Synergen Power,Open Cycle Gas Turbine,Natural Gas,,90,1,Stanley,South Australia,5,20171211,Gas,-33.9031,138.7383
54,Power Station,A facility used for the generation of electrical power for distribution,Renewable,22,Hallett 1 Brown Hill  Wind Farm,Operational,AGL Energy Pty Ltd,Wind Turbine,Wind,,94.5,45,Belalie East,South Australia,2,20171211,Wind,-33.33973358,138.7323317
55,Power Station,A facility used for the generation of electrical power for distribution,Non Renewable,250,Hallett,Operational,TRUenergy,Open Cycle Gas Turbine,Natural Gas,Light Fuel Oil Diesel,228.3,12,Hallett,South Australia,5,20171211,Gas / Diesel,-33.348652,138.751659
56,Power Station,A facility used for the generation of electrical power for distribution,Renewable,23,Hallett 2 Hallet Hill  Wind Farm,Operational,ANZ Energy Infrastructure Trust,Wind Turbine,Wind,,71.4,34,Booborowie,South Australia,2,20171211,Wind,-33.52260244,138.8551598
57,Power Station,A facility used for the generation of electrical power for distribution,Non Renewable,829,Port Lincoln,Operational,Synergen Power,Open Cycle Gas Turbine,Distillate,,73.5,3,Boston,South Australia,4,20171211,Gas,-34.70033444,135.8044238
58,Power Station,A facility used for the generation of electrical power for distribution,Renewable,271,Cathedral Rocks Wind Farm,Operational,TRUenergy & Acciona Energy,Wind Turbine,Wind,,66,33,Sleaford,South Australia,2,20171211,Wind,-34.850861,135.585172
59,Power Station,A facility used for the generation of electrical power for distribution,Non Renewable,225,Channel Island,Operational,NT Government,Gas Turbine,Natural Gas,Distillate,310,9,Channel Island,Northern Territory,5,20180411,,-12.554993,130.866587
60,Power Station,A facility used for the generation of electrical power for distribution,Non Renewable,226,Weddell,Operational,NT Power and Water,Open Cycle Gas Turbine,Natural Gas,,86,2,Wickham,Northern Territory,4,20171211,Gas,-12.57713222,130.9502236
61,Power Station,A facility used for the generation of electrical power for distribution,Renewable,251,Ord River,Operational,Pacific Hydro Pty Ltd,Hydroelectric (Gravity),Water,,30,4,Lake Argyle,Western Australia,4,20171211,Hydro,-16.120132,128.738325
62,Power Station,A facility used for the generation of electrical power for distribution,Non Renewable,215,Muja D,Operational,Verve Energy,Steam Subcritical,Coal,Black Coal,454,2,Muja,Western Australia,4,20171211,Coal,-33.4463574,116.3074283
63,Power Station,A facility used for the generation of electrical power for distribution,Non Renewable,211,Kemerton,Operational,Transfield Services Infrastructure Fund,Open Cycle Gas Turbine,Natural Gas,,260.9,2,Wellesley,Western Australia,4,20171211,Gas,-33.16325,115.78054
64,Power Station,A facility used for the generation of electrical power for distribution,Non Renewable,899,Pinjar,Operational,Verve Energy,Gas Turbine,Natural Gas,Distillate,576,9,Pinjar,Western Australia,4,20171211,Gas,-31.556798,115.820403
65,Power Station,A facility used for the generation of electrical power for distribution,Renewable,43,Emu Downs Wind Farm,Operational,Griffin Energy & Stanwell Corporation Ltd,Wind Turbine,Wind,,79.2,48,Nambung,Western Australia,2,20171211,Wind,-30.488191,115.376754
66,Power Station,A facility used for the generation of electrical power for distribution,Non Renewable,208,Collie A,Operational,Verve Energy,Steam Subcritical,Coal,Black Coal,340,1,Palmer,Western Australia,5,20171211,Coal,-33.342181,116.261165
67,Power Station,A facility used for the generation of electrical power for distribution,Non Renewable,176,Collie (Bluewaters),Operational,Griffin Energy,Steam Subcritical,Coal,Black Coal,416,2,Palmer,Western Australia,5,20171211,Coal,-33.331,116.229
68,Power Station,A facility used for the generation of electrical power for distribution,Non Renewable,232,Wagerup,Operational,Alinta Energy,Gas Turbine,Natural Gas,Distillate,380,4,Wagerup,Western Australia,5,20171211,Gas,-32.916017,115.918647
69,Power Station,A facility used for the generation of electrical power for distribution,Non Renewable,464,Kwinana Cogeneration,Operational,International Power Plc & Mitsui & Co Ltd & Transfield,Cogeneration,Natural Gas,,123,2,Kwinana Beach,Western Australia,5,20171211,Gas,-32.222532,115.766121
70,Power Station,A facility used for the generation of electrical power for distribution,Non Renewable,236,Kwinana High Efficiency Gas Turbine Plant,Operational,Verve Energy,Gas Turbine,Natural Gas,Distillate,200,2,Naval Base,Western Australia,5,20171211,Coal,-32.19729543,115.7753769
71,Power Station,A facility used for the generation of electrical power for distribution,Non Renewable,236,Kwinana A,Non-Operational,Synergy,Steam Subcritical,Coal,Black Coal,240,2,Naval Base,Western Australia,5,20171211,Coal,-32.1979529,115.7751521
72,Power Station,A facility used for the generation of electrical power for distribution,Non Renewable,236,Kwinana C,Non-Operational,Synergy,Steam Subcritical,Coal,Black Coal,184,2,Naval Base,Western Australia,5,20171211,Coal,-32.19922939,115.7747022
73,Power Station,A facility used for the generation of electrical power for distribution,Non Renewable,236,Cockburn,Operational,Verve Energy,Combined Cycle Gas Turbine,Natural Gas,,240,2,Naval Base,Western Australia,5,20171211,Gas,-32.200119,115.773679
74,Power Station,A facility used for the generation of electrical power for distribution,Non Renewable,853,Kalgoorlie (Parkeston),Operational,Newmount Australia / Transalta,Open Cycle,Natural Gas,Distillate,110,3,Parkeston,Western Australia,5,20171211,Gas,-30.73781,121.506543
75,Power Station,A facility used for the generation of electrical power for distribution,Renewable,797,Collgar Wind Farm,Operational,UBS IIT/ REST,Wind Turbine,Wind,,206,111,Norpa,Western Australia,2,20171211,Wind,-31.54317741,118.4565685
76,Power Station,A facility used for the generation of electrical power for distribution,Non Renewable,767,Merredin,Operational,,Open Cycle Gas Turbine,Gas,Oil,82,2,Merredin,Western Australia,3,20171211,Gas,-31.54231385,118.2269979
77,Power Station,A facility used for the generation of electrical power for distribution,Non Renewable,216,Mungarra,Operational,Verve Energy,Gas Turbine,Natural Gas,,112,3,West Casuarinas ,Western Australia,5,20171211,,-28.88931129,115.1176989
78,Power Station,A facility used for the generation of electrical power for distribution,Non Renewable,610,Geraldton,Operational,Verve Energy,,Natural Gas,,21,1,Woorree,Western Australia,5,20171211,Gas,-28.770107,114.648482
79,Power Station,A facility used for the generation of electrical power for distribution,Non Renewable,229,Paraburdoo,Operational,Rio Tinto Australia Pty Ltd,,Natural Gas,,155,4,Innawanga,Western Australia,5,20171211,Gas,-23.2232601,117.613267
80,Power Station,A facility used for the generation of electrical power for distribution,Non Renewable,230,Dampier,Operational,Rio Tinto Australia Pty Ltd,Steam Turbine,Natural Gas,,120,3,Dampier,Western Australia,4,20171211,Gas,-20.647985,116.721904
81,Power Station,A facility used for the generation of electrical power for distribution,Non Renewable,149,Yurralyi Maya (Karratha Seven Mile),Operational,Rio Tinto Australia Pty Ltd,,Natural Gas,,180,4,Maitland,Western Australia,4,20171211,Gas,-20.762,116.742
82,Power Station,A facility used for the generation of electrical power for distribution,Renewable,1,Wonthaggi Wind Farm,Operational,Origin Energy,Wind Turbine,Wind,,12,6,Wonthaggi,Victoria,5,20121109,,-38.603736,145.546167
83,Power Station,A facility used for the generation of electrical power for distribution,Renewable,2,Walkaway Wind Farm,Operational,Infigen Energy Pty Ltd,Wind Turbine,Wind,,90,54,Walkaway,Western Australia,5,20171105,,-28.92285117,114.9281583
84,Power Station,A facility used for the generation of electrical power for distribution,Renewable,3,Cullerin Range Wind Farm,Operational,Origin Energy,Wind Turbine,Wind,,30,15,Gunning,New South Wales,5,20161105,,-34.80498162,149.4001296
85,Power Station,A facility used for the generation of electrical power for distribution,Renewable,5,Snowtown North,Operational,TrustPower Ltd,Wind Turbine,Wind,,148,47,Snowtown,South Australia,5,20161105,,-33.72152007,138.1470884
86,Power Station,A facility used for the generation of electrical power for distribution,Renewable,7,Cape Bridgewater Wind Farm,Operational,Pacific Hydro Pty Ltd,Wind Turbine,Wind,,58,29,Cape Bridgewater,Victoria,5,20121109,,-38.357655,141.385044
87,Power Station,A facility used for the generation of electrical power for distribution,Non Renewable,8,Barcaldine (Len Wishaw),Operational,Ergon Energy Qld Pty Ltd,Combined Cycle Gas Turbine,Natural Gas,,37,1,Barcaldine,Queensland,5,20161105,,-23.55245184,145.3141861
88,Power Station,A facility used for the generation of electrical power for distribution,Renewable,9,Bluff Point (Woolnorth) Wind Farm,Operational,Hydro-Electric Corporation (Tasmania),Wind Turbine,Wind,,65,37,Woolnorth,Tasmania,5,20170304,,-40.720674,144.686919
89,Power Station,A facility used for the generation of electrical power for distribution,Renewable,10,Studland Bay (Woolnorth) Wind Farm,Operational,Hydro-Electric Corporation (Tasmania),Wind Turbine,Wind,,75,25,Woolnorth,Tasmania,5,20170304,,-40.778754,144.736204
90,Power Station,A facility used for the generation of electrical power for distribution,Renewable,11,The Drop,Operational,Pacific Hydro Investments Pty Ltd,Hydroelectric (Gravity),Water,,3,1,Berrigan,New South Wales,3,20161105,,-35.604347,145.783725
91,Power Station,A facility used for the generation of electrical power for distribution,Renewable,12,Pindari,Operational,AGL Energy Pty Ltd,Hydroelectric (Gravity),Water,,6.7,2,Ashford (Severn River),New South Wales,5,20161105,,-29.388626,151.244202
92,Power Station,A facility used for the generation of electrical power for distribution,Renewable,13,Nieterana,Operational,Hydro-Electric Corporation (Tasmania),Hydroelectric (Gravity),Water,,2.2,1,Derwent River,Tasmania,4,20170304,,-42.26858672,146.262883
93,Power Station,A facility used for the generation of electrical power for distribution,Renewable,16,Oakland Hills Wind Farm,Operational,AGL Energy Pty Ltd,Wind Turbine,Wind,,67,32,Glentompson,Victoria,3,20161105,<Null>,-37.6870595,142.5467248
94,Power Station,A facility used for the generation of electrical power for distribution,Renewable,18,Tatura Biogas Generation Plant,Operational,Diamond Energy Pty Ltd,Spark Ignition Reciprocating Engine,Biogas,Sewage Methane,1.1,,Tatura,Victoria,5,20121109,Biogas (Sewage/Waste Water),-36.479261,145.235026
95,Power Station,A facility used for the generation of electrical power for distribution,Renewable,21,Jindabyne Dam Mini Hydro,Operational,Snowy Hydro Ltd,Hydroelectric (Gravity),Water,,1.1,1,Jindabyne,New South Wales,5,20121109,,-36.43514967,148.6332501
96,Power Station,A facility used for the generation of electrical power for distribution,Renewable,24,North Brown Hill  Wind Farm,Operational,AGL Energy Pty Ltd,Wind Turbine,Wind,,132.3,63,Hallett North Brown Hill,South Australia,3,20161105,,-33.30925994,138.7295955
97,Power Station,A facility used for the generation of electrical power for distribution,Renewable,25,Clements Gap Wind Farm,Operational,Pacific Hydro Pty Ltd,Wind Turbine,Wind,,57,27,"Merriton, Port Broughton",South Australia,3,20161105,,-33.50856771,138.1191752
98,Power Station,A facility used for the generation of electrical power for distribution,Renewable,26,Wyangala A,Operational,Country Energy,Hydroelectric (Gravity),Water,,20,1,Cowra (Lachlan River),New South Wales,3,20121109,,-33.980989,148.947306
99,Power Station,A facility used for the generation of electrical power for distribution,Renewable,27,Blayney Wind Farm,Operational,Eraring Energy,Wind Turbine,Wind,,9.9,15,Blayney,New South Wales,5,20121109,,-33.62189,149.19821
100,Power Station,A facility used for the generation of electrical power for distribution,Renewable,28,Woodlawn Wind Farm,Operational,Infigen Energy Pty Ltd,Wind Turbine,Wind,,48,23,Tarago,New South Wales,3,20170604,,-35.0860597,149.5716058
101,Power Station,A facility used for the generation of electrical power for distribution,Renewable,29,Woodlawn Bioreactor,Operational,Veolia Environmental Services (Aust) Pty Ltd,Spark Ignition Reciprocating Engine,Biogas,Landfill Methane,7,7,Tarago,New South Wales,5,20161105,,-35.05900246,149.576905
102,Power Station,A facility used for the generation of electrical power for distribution,Renewable,30,West Nowra (Shoalhaven),Operational,AGL Energy Pty Ltd,Compression Reciprocating Engine,Biogas,Landfill Methane,1,1,Nowra,New South Wales,4,20121109,,-34.881978,150.551485
103,Power Station,A facility used for the generation of electrical power for distribution,Renewable,31,Tumut 3,Operational,Snowy Hydro Ltd,Hydroelectric (Gravity),Water,,1500,6,Talbingo Dam (Tumut River),New South Wales,5,20121109,The six generators were upgraded in June 2012.  Each is capable of an additional 25 to 50 MW,-35.61121773,148.2916846
104,Power Station,A facility used for the generation of electrical power for distribution,Renewable,33,Summerhill,Operational,LMS Energy Generation Pty Ltd,Spark Ignition Reciprocating Engine,Biogas,Landfill Methane,2.2,2,Wallsend,New South Wales,4,20121109,,-32.888533,151.642954
105,Power Station,A facility used for the generation of electrical power for distribution,Renewable,34,Mugga Lane,Operational,Energy Developments LFG (ACT) Pty Ltd,Spark Ignition Reciprocating Engine,Biogas,Landfill Methane,3.5,3,Hume,Australian Capital Territory,5,20121109,,-35.395304,149.14582
106,Power Station,A facility used for the generation of electrical power for distribution,Renewable,36,Lucas Heights II,Operational,Energy Developments LFG (NSW) Pty Ltd,Spark Ignition Reciprocating Engine,Biogas,Landfill Methane,16,11,Lucas Heights,New South Wales,5,20121109,Generating Units 11x1.03,-34.048146,150.973882
107,Power Station,A facility used for the generation of electrical power for distribution,Renewable,37,Lucas Heights I,Operational,Energy Developments LFG (NSW) Pty Ltd,Spark Ignition Reciprocating Engine,Biogas,Landfill Methane,5.39,5,Lucas Heights,New South Wales,5,20121109,"Generating Units 2x1.15, 3x1.03",-34.029302,151.002072
108,Power Station,A facility used for the generation of electrical power for distribution,Renewable,38,Jounama,Operational,Snowy Hydro Ltd,Hydroelectric (Gravity),Water,,14,1,Talbingo,New South Wales,5,20161105,,-35.5619651,148.3055166
109,Power Station,A facility used for the generation of electrical power for distribution,Renewable,39,Jacks Gully,Operational,Energy Developments LFG (NSW) Pty Ltd,Spark Ignition Reciprocating Engine,Biogas,Landfill Methane,2.3,2,Narellan,New South Wales,5,20121109,,-34.07344,150.742689
110,Power Station,A facility used for the generation of electrical power for distribution,Renewable,40,Gunning,Operational,Acciona Energy Australia,Wind Turbine,Wind,,47,31,Gunning,New South Wales,3,20161105,,-34.69773447,149.3861257
111,Power Station,A facility used for the generation of electrical power for distribution,Renewable,41,Grange Avenue,Operational,Energy Developments LFG (NSW) Pty Ltd,Spark Ignition Reciprocating Engine,Biogas,Landfill Methane,2,1,Marsden Park,New South Wales,5,20161105,,-33.702938,150.831233
112,Power Station,A facility used for the generation of electrical power for distribution,Renewable,42,Esperance Wind Farm Nine Mile Beach,Operational,Verve Energy,Wind Turbine,Wind,,3.6,6,Esperance,Western Australia,5,20130509,,-33.89271,121.77778
113,Power Station,A facility used for the generation of electrical power for distribution,Renewable,44,Eastern Creek 2,Operational,LMS Energy Generation Pty Ltd,Spark Ignition Reciprocating Engine,Biogas,Landfill Methane,8.984,7,Eastern Creek,New South Wales,3,20161105,,-33.812515,150.861683
114,Power Station,A facility used for the generation of electrical power for distribution,Renewable,45,Eastern Creek,Operational,Energy Developments LFG(NSW) Pty Ltd,Spark Ignition Reciprocating Engine,Biogas,Landfill Methane,5.4,4,Eastern Creek,New South Wales,4,20161105,,-33.81415696,150.8537017
115,Power Station,A facility used for the generation of electrical power for distribution,Renewable,46,Crookwell Wind Farm,Operational,Eraring Energy,Wind Turbine,Wind,,4.8,8,Crookwell,New South Wales,5,20121109,,-34.5165,149.54248
116,Power Station,A facility used for the generation of electrical power for distribution,Renewable,47,Capital Hill Wind Farm,Operational,Infigen Energy Pty Ltd,Wind Turbine,Wind,,140,67,Bungendore,New South Wales,5,20161105,,-35.16603062,149.5185686
